referencia;designacao;localizacao
120168G;CALHA ROLLAN 40 N 1510-1700 MM;
120171G;CALHA ROLLAN 80 N 810-1000 MM;
120173G;CALHA ROLLAN 80 N 1110-1300 MM;
120174G;CALHA ROLLAN 80 N 1310-1500 MM;
120177G;ACESS.ROLLAN 80N C/ANG. 510-1100 MM;CS6P1
120178G;ACESS.ROLLAN 80N 1110-1700 MM;
1201LR03PB;PILHA ALCALINA AAA 1,5V LR03.PB 10,5X44,5 MM;
1201LR6PB;PILHA ALCALINA AA 1,5V LR6.PB 14X50 MM;
120306G;ACESS.ROLLAN 40N, S/FIXAÇAO AO MURO, L 510-1700 MM;
120417G;GUIA DE CHAO REGUL.P/VIDRO PERLAN 140;
120432G;PERLAN 140 - SUPORTE RETRATIL P/GUIA DE CORRER;
120434;PERLAN 140 SET AUTOMATISMO;
12043497H;MANETE JANELA SEM ESPELHO 24 MM PRETA - AUSTIN;CS4P4
12044271H;MANETE JANELA SEM ESPELHO 37 MM PRETA - AUSTIN;CS4P3
120503G;CAIXA MONTAGEM SUPERFICIE;
122928G;CONJºSUP.P/ FIXAÇAO CAPA ROLLAN 40/80;
123397G;EOL N MOTOR DE CORREIA 230 V 400 PRATA;
123398G;EOL N MOTOR DE CORREIA 230 V 400 PRETO;
123399G;EOL N MOTOR DE CORREIA 230 V 400 BRANCO;
123421G;EOL N ACESSORIOS DE MONTAGEM ABERTURA EXTERIOR;
123454G;EOL N ACESSORIO DE MONTAGEM ABERTURA INTERIOR;
123612G;MSW CASQUILHO DE SOLO AJUSTAVEL;CS6P1
123950G;MOLA DE PAVIMENTO TS 550 NV FORÇA VARIAVEL EN 3-6;
124162G;PT90 ELEM.LIGAÇAO VIDRO-PAREDE SIMPLES;
124164G;PT84 ELEM.FIXAÇAO PAREDE;
125573G;MOLA DE PAVIMENTO TS 500 N FORÇA FIXA EN 3 C/RET. 90º;
125574G;MOLA DE PAVIMENTO TS 500 NV FORÇA VARIAVEL EN 1-4 C/RET. 85º;
125582G;CONJº CAPAS LATERAIS ROLLAN 40/80;
125585G;CONJº PINÇAS P/VIDRO 8/10/12MM ROLLAN 40N;
125586G;CORRER LINEAR - PINÇA DE VIDRO;
125888G;PLACA EMBELEZADORA TS 550 N/NV;
125960G;MSW PERFIL SUPORTE E PINÇA;
126107G;CAPA C/PINÇA P/ PERFIS 3 MTS ROLLAN 40/80;
126869G;BORRACHA P/VIDRO PERFIL U 12 MTS;
126963G;KIT PERLAN 140 COM FIXO 6000;
126965G;PERFIL EM U PARA FIXO, 6 MTS LEVOLAN;
126995G;KIT PERLAN 140 COM FIXO 3000;
127001G;KIT CAPAS P/PERFIL EM U PERLAN;
1271951SFS;DOB.170/15 FEMEA RAL 9010 BR.;DS2P4
127229G;PT62 UNIAO COM CONTRAPLACA;GEZE P8
1272342SFS;DOBRADIÇA CACHIMBO SFS MACHO BRANCA;
127852G;PC CILINDRO FECHADURA PL50 E US550 L=60;
128054G;GC 335 SENSOR SEG.PORTA BAT. 750-900 MM EV1;
128058G;GC 335 SENSOR SEG.PORTA BAT. 900-1400 MM  EV1;
